Real,Imag
0.517478,0.28708
0.521008,0.295287
0.524588,0.303459
0.528218,0.311595
0.531898,0.319694
0.535627,0.327754
0.539405,0.335774
0.543232,0.343754
0.547107,0.351693
0.551031,0.359588
0.555001,0.367439
0.559019,0.375246
0.563082,0.383006
0.567189,0.390719
0.571341,0.398385
0.575536,0.406001
0.579772,0.413569
0.584048,0.421086
0.588364,0.428552
0.592718,0.435967
0.597108,0.443331
0.601534,0.450643
0.605993,0.457903
0.610485,0.465111
0.615009,0.472266
0.619562,0.47937
0.624144,0.486422
0.628754,0.493423
0.63339,0.500373
0.638052,0.507272
0.642737,0.514121
0.647446,0.520921
0.652178,0.527672
0.656931,0.534375
0.661705,0.541032
0.666499,0.547641
0.671314,0.554206
0.676148,0.560725
0.681001,0.5672
0.685874,0.573632
0.690765,0.580022
0.695676,0.58637
0.700605,0.592676
0.705554,0.598942
0.710522,0.605168
0.71551,0.611354
0.720518,0.617501
0.725547,0.623609
0.730596,0.629678
0.735667,0.635709
0.74076,0.6417
0.745875,0.647653
0.751012,0.653567
0.756173,0.659442
0.761357,0.665277
0.766565,0.671073
0.771797,0.676827
0.777053,0.68254
0.782334,0.688211
0.787639,0.69384
0.792969,0.699425
0.798324,0.704966
0.803703,0.710462
0.809106,0.715912
0.814532,0.721314
0.819982,0.726669
0.825455,0.731976
0.830949,0.737232
0.836465,0.742439
0.842001,0.747594
0.847556,0.752697
0.85313,0.757748
0.858721,0.762745
0.864328,0.767689
0.86995,0.772579
0.875586,0.777414
0.881234,0.782195
0.886893,0.786921
0.892562,0.791592
0.898239,0.796209
0.903923,0.800771
0.909612,0.805279
0.915307,0.809733
0.921004,0.814134
0.926703,0.818481
0.932403,0.822777
0.938102,0.827022
0.9438,0.831215
0.949497,0.83536
0.95519,0.839455
0.960879,0.843503
0.966564,0.847504
0.972244,0.851459
0.977919,0.85537
0.983588,0.859236
0.989252,0.863061
0.994909,0.866843
1.00056,0.870585
1.00621,0.874288
1.01185,0.877951
1.01748,0.881577
1.02311,0.885165
1.02874,0.888717
1.03436,0.892232
1.03997,0.895712
1.04559,0.899157
1.0512,0.902566
1.05681,0.905941
1.06241,0.909282
1.06802,0.912587
1.07362,0.915858
1.07923,0.919094
1.08483,0.922295
1.09044,0.92546
1.09604,0.928588
1.10165,0.931681
1.10726,0.934735
1.11287,0.937752
1.11848,0.940731
1.1241,0.943669
1.12971,0.946568
1.13533,0.949426
1.14094,0.952243
1.14656,0.955017
1.15217,0.957748
1.15778,0.960435
1.16339,0.963078
1.169,0.965676
1.1746,0.968229
1.1802,0.970735
1.18579,0.973196
1.19138,0.97561
1.19695,0.977978
1.20251,0.980299
1.20807,0.982573
1.21361,0.984801
1.21913,0.986983
1.22464,0.989119
1.23013,0.99121
1.23561,0.993256
1.24107,0.995258
1.2465,0.997218
1.25192,0.999135
1.25731,1.00101
1.26267,1.00285
1.26802,1.00464
1.27334,1.0064
1.27863,1.00812
1.2839,1.00981
1.28914,1.01146
1.29435,1.01308
1.29954,1.01467
1.3047,1.01622
1.30983,1.01775
1.31494,1.01925
1.32001,1.02072
1.32507,1.02217
1.33009,1.02359
1.33509,1.02499
1.34007,1.02637
1.34502,1.02772
1.34995,1.02905
1.35485,1.03036
1.35974,1.03165
1.3646,1.03292
1.36944,1.03417
1.37425,1.0354
1.37905,1.0366
1.38384,1.03779
1.3886,1.03896
1.39334,1.04011
1.39807,1.04123
1.40278,1.04234
1.40748,1.04342
1.41215,1.04448
1.41682,1.04551
1.42146,1.04652
1.42609,1.04751
1.4307,1.04847
1.4353,1.0494
1.43987,1.05031
1.44443,1.05119
1.44897,1.05204
1.45349,1.05286
1.45799,1.05366
1.46247,1.05442
1.46693,1.05515
1.47136,1.05586
1.47577,1.05653
1.48015,1.05717
1.4845,1.05778
1.48882,1.05836
